frame_id,time_s,track_id,team,role,x,y
24,2.88,8,1,player,44.99,38.88
24,2.88,23,1,player,44.47,26.24
24,2.88,9,0,player,45.57,32.84
24,2.88,21,0,player,45.6,42.34
24,2.88,1,-1,referee,74.04,70.1
24,2.88,10,-1,referee,59.11,42.26
24,2.88,16,-1,referee,45.61,-1.18
25,3.0,3,1,player,74.87,32.92
25,3.0,25,1,player,72.02,50.6
25,3.0,2,1,player,63.59,63.6
25,3.0,12,0,player,50.76,60.82
25,3.0,19,0,player,46.44,23.8
25,3.0,22,1,player,52.47,33.06
25,3.0,4,1,player,48.61,59.93
25,3.0,14,1,player,62.85,43.36
25,3.0,6,0,player,68.95,47.42
25,3.0,17,0,player,54.57,39.6
25,3.0,8,1,player,44.91,38.81
25,3.0,15,0,player,45.71,49.85
25,3.0,21,0,player,45.39,42.28
25,3.0,24,1,player,64.24,19.22
25,3.0,9,0,player,45.52,33.0
25,3.0,23,1,player,44.68,27.07
25,3.0,7,0,player,55.06,28.96
25,3.0,18,0,player,73.39,31.27
25,3.0,5,1,player,71.21,38.05
25,3.0,10,-1,referee,58.8,42.21
25,3.0,16,-1,referee,45.57,-1.23
25,3.0,1,-1,referee,74.03,70.15
26,3.12,2,1,player,63.72,63.63
26,3.12,12,0,player,50.88,61.13
26,3.12,25,1,player,72.1,50.84
26,3.12,8,1,player,44.65,38.59
26,3.12,15,0,player,45.75,50.43
26,3.12,14,1,player,62.75,43.91
26,3.12,24,1,player,64.1,19.01
26,3.12,6,0,player,68.81,47.78
26,3.12,3,1,player,74.75,32.86
26,3.12,22,1,player,52.27,32.99
26,3.12,17,0,player,54.56,39.99
26,3.12,21,0,player,45.15,42.47
26,3.12,4,1,player,48.64,59.74
26,3.12,23,1,player,44.8,27.58
26,3.12,19,0,player,46.44,24.2
26,3.12,7,0,player,55.02,29.11
26,3.12,5,1,player,71.14,38.09
26,3.12,18,0,player,73.38,31.32
26,3.12,9,0,player,45.37,33.23
26,3.12,10,-1,referee,58.57,42.14
26,3.12,16,-1,referee,45.52,-1.17
26,3.12,1,-1,referee,73.99,70.05
27,3.24,25,1,player,72.2,50.93
27,3.24,12,0,player,51.11,61.8
27,3.24,2,1,player,63.85,64.47
27,3.24,5,1,player,70.99,38.39
27,3.24,8,1,player,44.56,38.4
27,3.24,15,0,player,45.8,51.13
27,3.24,4,1,player,48.59,59.0
27,3.24,24,1,player,63.88,19.18
27,3.24,22,1,player,52.04,33.04
27,3.24,3,1,player,74.62,33.11
27,3.24,7,0,player,55.08,29.2
27,3.24,9,0,player,45.16,33.2
27,3.24,18,0,player,73.34,31.3
27,3.24,14,1,player,62.6,44.57
