frame_id,time_s,team,n,compactness_m,width_m,depth_m,line_height_m,control_pct,pressing_m
52,6.24,1,10,16.61,45.51,32.88,55.38,55.3,6.07
53,6.36,0,7,15.68,32.35,32.25,48.05,44.5,6.04
53,6.36,1,10,16.53,45.54,33.03,55.37,55.5,6.04
54,6.48,0,7,15.69,32.54,32.26,47.96,44.8,5.91
54,6.48,1,10,16.43,45.15,32.95,55.29,55.2,5.91
55,6.6,0,7,12.32,32.43,18.88,45.0,44.1,8.41
55,6.6,1,11,16.29,45.3,32.95,56.46,55.9,8.41
56,6.72,0,7,12.25,32.46,18.87,44.97,43.6,8.34
56,6.72,1,11,16.27,45.86,32.98,56.41,56.4,8.34
57,6.84,0,7,12.12,32.38,18.7,44.96,43.0,8.28
57,6.84,1,11,16.14,45.85,33.04,56.32,57.0,8.28
58,6.96,0,7,12.01,32.51,18.47,44.94,43.6,8.35
58,6.96,1,11,15.96,46.23,33.09,56.22,56.4,8.35
59,7.08,0,6,10.57,32.46,12.84,43.19,42.0,10.06
59,7.08,1,11,15.94,46.02,33.21,56.15,58.0,10.06
60,7.2,0,6,10.5,32.16,12.57,41.02,38.3,10.05
60,7.2,1,11,15.95,45.94,33.42,53.99,61.7,10.05
61,7.32,0,7,12.47,32.22,20.77,43.14,39.7,8.54
61,7.32,1,11,15.97,45.96,33.44,53.9,60.3,8.54
62,7.44,0,7,12.38,32.17,20.63,43.19,39.1,8.42
62,7.44,1,11,15.92,45.7,33.52,53.84,60.9,8.42
63,7.56,0,8,13.98,32.0,39.46,39.85,39.4,9.0
63,7.56,1,11,15.87,45.56,33.55,53.76,60.6,9.0
64,7.68,0,8,13.94,31.71,39.45,39.88,39.2,9.06
64,7.68,1,11,15.9,46.03,33.54,53.65,60.8,9.06
65,7.8,0,7,12.21,31.76,20.48,43.34,36.6,8.31
65,7.8,1,11,15.89,46.34,33.6,53.57,63.4,8.31
66,7.92,0,8,12.84,31.87,23.84,45.28,37.0,6.9
66,7.92,1,11,16.01,46.4,33.46,53.4,63.0,6.9
67,8.04,0,8,12.72,31.59,23.73,45.23,37.0,6.86
67,8.04,1,11,15.95,45.82,33.4,53.17,63.0,6.86
68,8.16,0,7,14.1,31.6,23.65,45.0,35.0,6.75
68,8.16,1,11,15.97,46.08,33.44,53.02,65.0,6.75
69,8.28,0,7,13.19,31.51,23.55,44.19,33.3,6.51
69,8.28,1,11,16.02,46.26,33.37,52.89,66.7,6.51
70,8.4,0,8,13.75,31.19,23.24,45.66,33.6,6.43
70,8.4,1,11,16.07,46.16,33.45,52.79,66.4,6.43
71,8.52,0,8,13.66,31.49,23.14,45.65,33.6,6.45
71,8.52,1,11,16.13,46.45,33.3,52.74,66.4,6.45
72,8.64,0,8,13.62,31.18,22.92,45.72,32.5,6.45
72,8.64,1,11,16.09,46.27,33.16,52.69,67.5,6.45
73,8.76,0,8,13.5,30.89,22.51,45.73,28.7,6.33
73,8.76,1,11,16.24,46.66,33.83,52.57,71.2,6.33
74,8.88,0,8,13.46,31.06,22.36,45.75,27.5,6.34
74,8.88,1,11,16.3,46.6,33.93,52.52,72.5,6.34
75,9.0,0,9,15.34,31.78,43.99,43.16,38.0,7.48
75,9.0,1,11,16.46,47.81,33.19,53.42,62.0,7.48
76,9.12,0,8,13.56,31.38,21.8,46.63,31.1,6.7
76,9.12,1,11,16.43,47.76,33.07,53.38,68.9,6.7
77,9.24,0,8,13.72,31.65,21.59,46.53,30.5,6.87
77,9.24,1,11,16.39,47.6,32.97,53.35,69.5,6.87
78,9.36,0,9,15.23,31.8,43.96,43.35,37.0,7.56
78,9.36,1,11,16.47,47.84,33.14,53.34,63.0,7.56
79,9.48,0,8,13.55,31.51,21.11,46.76,30.5,6.89
79,9.48,1,11,16.48,48.21,32.96,53.35,69.5,6.89
80,9.6,0,9,12.25,31.37,20.93,47.11,30.8,7.03
80,9.6,1,11,16.52,48.4,32.84,53.33,69.2,7.03
81,9.72,0,8,13.42,31.17,20.94,46.84,30.5,6.96
81,9.72,1,11,16.49,48.07,32.7,53.37,69.5,6.96
82,9.84,0,9,15.15,32.31,43.5,43.53,38.0,7.78
82,9.84,1,11,16.5,48.12,32.7,53.42,62.0,7.78
83,9.96,0,9,14.98,31.73,43.44,43.61,37.0,7.89
83,9.96,1,11,16.59,48.64,32.67,53.5,63.0,7.89
84,10.08,0,9,14.95,31.93,43.25,43.71,37.2,7.91
84,10.08,1,11,16.65,48.99,32.7,53.57,62.8,7.91
85,10.2,0,8,13.33,32.49,20.48,47.09,31.4,7.11
85,10.2,1,11,16.59,48.55,32.15,53.68,68.6,7.11
86,10.32,0,8,13.33,32.95,20.36,47.06,33.1,7.0
86,10.32,1,11,16.58,48.34,32.14,53.72,66.9,7.0
87,10.44,0,8,13.43,33.65,20.28,47.09,33.8,7.0
87,10.44,1,11,16.69,49.42,32.37,53.84,66.2,7.0
88,10.56,0,8,13.49,33.96,20.03,47.12,33.6,6.98
88,10.56,1,11,16.76,49.43,32.48,53.9,66.4,6.98
89,10.68,0,9,14.99,33.69,42.45,43.81,38.0,7.79
89,10.68,1,11,16.87,50.0,32.71,53.91,62.0,7.79
90,10.8,0,10,13.96,34.48,41.32,44.11,38.9,7.61
90,10.8,1,11,16.74,49.14,32.73,53.63,61.1,7.61
91,10.92,0,10,13.99,34.57,41.06,44.06,38.3,7.52
91,10.92,1,11,16.83,49.77,32.69,53.63,61.7,7.52
92,11.04,0,10,14.08,35.49,41.05,43.92,38.9,7.57
92,11.04,1,11,16.85,49.8,32.77,53.65,61.1,7.57
93,11.16,0,10,14.06,35.77,41.13,43.84,39.1,7.56
93,11.16,1,11,16.98,50.05,32.95,53.66,60.9,7.56
94,11.28,0,10,14.07,35.72,41.0,43.77,39.1,7.57
94,11.28,1,11,17.08,49.89,33.05,53.66,60.9,7.57
95,11.4,0,10,14.1,35.6,40.83,43.67,38.9,7.6
95,11.4,1,11,17.1,49.99,33.3,53.67,61.1,7.6
96,11.52,0,10,14.07,36.16,40.91,43.53,39.5,7.57
96,11.52,1,11,17.14,50.38,33.09,53.7,60.5,7.57
97,11.64,0,9,12.68,36.61,20.0,46.3,36.4,6.82
97,11.64,1,11,17.27,50.43,33.11,53.7,63.6,6.82
98,11.76,0,9,12.71,36.0,20.33,46.24,36.4,7.0
98,11.76,1,11,17.34,50.25,32.99,53.77,63.6,7.0
99,11.88,0,10,14.1,36.29,41.65,43.27,40.3,7.78
99,11.88,1,11,17.44,50.51,32.96,53.79,59.7,7.78
100,12.0,0,10,14.24,36.75,41.79,43.2,40.3,7.83
100,12.0,1,11,17.44,50.19,32.95,53.86,59.7,7.83
101,12.12,0,10,14.17,36.91,41.99,43.16,40.6,7.99
101,12.12,1,11,17.64,50.49,32.84,53.92,59.4,7.99
102,12.24,0,9,13.57,36.75,40.04,41.23,41.1,8.62
102,12.24,1,11,17.78,50.89,32.73,53.97,58.9,8.62
103,12.36,0,10,14.25,37.01,42.57,43.0,40.9,8.21
103,12.36,1,11,17.69,50.52,32.42,53.97,59.1,8.21
104,12.48,0,10,14.37,37.36,42.77,42.94,41.1,8.2
104,12.48,1,11,17.82,51.25,32.09,53.99,58.9,8.2
105,12.6,0,10,14.48,37.68,42.99,44.09,42.8,8.36
105,12.6,1,11,18.02,51.46,32.44,55.28,57.2,8.36
106,12.72,0,10,14.52,37.65,43.25,44.06,43.6,8.36
106,12.72,1,11,18.07,51.38,32.25,55.31,56.4,8.36
107,12.84,0,10,14.65,37.9,43.28,44.05,44.2,8.44
107,12.84,1,11,18.22,52.51,32.02,55.35,55.8,8.44
108,12.96,0,10,14.64,38.0,43.57,44.03,44.2,8.49
108,12.96,1,11,18.16,52.32,31.79,55.4,55.8,8.49
109,13.08,0,10,14.74,37.98,43.55,44.0,44.1,8.61
109,13.08,1,11,18.26,52.7,31.75,55.45,55.9,8.61
110,13.2,0,10,14.69,37.76,43.67,43.99,44.5,8.67
110,13.2,1,11,18.39,52.91,31.76,55.48,55.5,8.67
111,13.32,0,10,14.83,37.99,43.71,43.93,45.0,8.71
111,13.32,1,11,18.34,53.11,31.68,55.54,55.0,8.71
112,13.44,0,10,14.87,37.9,43.79,43.95,45.3,8.67
112,13.44,1,11,18.47,53.67,31.9,55.57,54.7,8.67
113,13.56,0,10,14.95,38.06,43.78,43.93,45.6,8.62
113,13.56,1,11,18.52,53.86,32.01,55.62,54.4,8.62
114,13.68,0,10,14.94,37.37,43.86,43.84,45.8,8.73
114,13.68,1,11,18.52,53.92,32.01,55.64,54.2,8.73
115,13.8,0,10,14.8,36.27,43.8,43.77,45.6,8.85
115,13.8,1,11,18.56,53.46,32.33,55.65,54.4,8.85
116,13.92,0,10,14.79,35.04,43.81,43.69,45.3,8.97
116,13.92,1,11,18.61,53.95,32.49,55.66,54.7,8.97
117,14.04,0,10,14.85,35.41,43.96,43.55,45.6,8.39
117,14.04,1,10,18.44,54.01,32.66,54.3,54.4,8.39
118,14.16,0,10,15.06,37.23,44.15,43.42,46.1,8.2
118,14.16,1,10,18.45,53.96,32.93,54.21,53.9,8.2
119,14.28,0,9,14.44,38.74,38.44,41.3,46.1,8.55
119,14.28,1,10,18.43,53.74,33.11,54.05,53.9,8.55
120,14.4,0,6,15.18,39.15,15.29,46.3,52.7,12.18
120,14.4,1,6,16.25,40.3,32.46,56.85,47.3,12.18
121,14.52,0,5,14.18,40.65,14.76,47.35,51.1,11.49
121,14.52,1,5,15.65,40.62,32.36,53.36,48.9,11.49
122,14.64,0,5,14.26,40.25,14.82,47.13,51.1,11.39
122,14.64,1,5,15.63,41.17,32.4,53.15,48.9,11.39
123,14.76,0,5,14.42,41.49,14.6,46.9,50.6,11.37
123,14.76,1,5,15.62,41.42,32.39,52.96,49.4,11.37
124,14.88,0,6,13.97,41.52,14.82,45.61,52.0,10.6
124,14.88,1,5,15.76,42.05,32.83,52.8,48.0,10.6
125,15.0,0,7,14.44,42.2,21.11,47.49,51.4,9.72
125,15.0,1,7,16.52,42.72,33.23,56.45,48.6,9.72
126,15.12,0,6,14.76,41.04,20.99,48.83,47.7,8.84
126,15.12,1,8,18.52,51.64,33.18,56.88,52.3,8.84
127,15.24,0,8,13.03,36.86,22.26,44.18,46.1,11.99
127,15.24,1,8,18.4,51.5,33.29,56.93,53.9,11.99
128,15.36,0,9,12.76,37.41,22.44,43.41,46.6,10.92
128,15.36,1,7,16.89,51.63,31.22,54.52,53.4,10.92
129,15.48,0,9,12.95,37.72,22.76,43.28,46.9,10.93
129,15.48,1,7,17.03,52.12,31.63,54.51,53.1,10.93
130,15.6,0,9,13.15,38.12,23.1,43.13,46.4,11.01
130,15.6,1,7,17.14,52.73,31.97,54.49,53.6,11.01
131,15.72,0,9,13.37,38.81,23.41,42.96,46.2,11.16
131,15.72,1,7,17.3,53.51,32.36,54.52,53.8,11.16
132,15.84,0,9,13.4,38.88,23.67,42.85,46.2,11.21
132,15.84,1,7,17.41,53.93,32.58,54.53,53.8,11.21
133,15.96,0,9,13.44,38.6,23.82,42.89,46.4,11.09
133,15.96,1,7,17.33,53.85,32.6,54.52,53.6,11.09
134,16.08,0,9,13.51,38.76,23.87,42.88,47.2,11.17
134,16.08,1,7,17.43,54.49,32.81,54.54,52.8,11.17
135,16.2,0,9,12.88,37.07,22.25,44.5,45.9,9.07
135,16.2,1,8,16.27,52.46,31.88,53.21,54.1,9.07
136,16.32,0,10,13.81,37.48,24.35,46.18,51.9,8.64
136,16.32,1,8,16.54,53.78,32.36,53.17,48.1,8.64
137,16.44,0,11,14.65,40.2,24.15,47.45,49.2,8.05
137,16.44,1,9,18.44,54.16,36.37,55.72,50.8,8.05
138,16.56,0,11,14.67,40.25,24.06,47.51,49.8,7.97
138,16.56,1,9,18.42,54.35,36.25,55.73,50.2,7.97
139,16.68,0,11,14.66,40.16,24.05,47.55,49.7,7.93
139,16.68,1,9,18.42,54.57,36.17,55.75,50.3,7.93
140,16.8,0,11,14.57,39.42,24.04,47.6,49.2,7.96
140,16.8,1,9,18.4,54.81,36.17,55.74,50.8,7.96
141,16.92,0,11,14.5,39.25,24.09,47.69,49.7,7.94
141,16.92,1,9,18.4,55.26,36.17,55.74,50.3,7.94
142,17.04,0,11,14.39,38.23,24.14,47.72,49.5,8.04
142,17.04,1,9,18.43,55.85,36.15,55.75,50.5,8.04
143,17.16,0,11,14.3,37.83,24.2,47.75,49.7,8.06
143,17.16,1,9,18.38,56.06,36.04,55.76,50.3,8.06
144,17.28,0,11,14.27,37.54,24.3,47.75,49.4,8.04
144,17.28,1,9,18.4,56.37,35.83,55.68,50.6,8.04
145,17.4,0,11,14.23,37.66,24.47,47.76,49.4,8.07
145,17.4,1,9,18.41,56.88,35.76,55.64,50.6,8.07
146,17.52,0,11,14.18,37.64,24.69,47.79,49.7,8.07
146,17.52,1,9,18.37,57.31,35.58,55.66,50.3,8.07
147,17.64,0,11,14.15,37.58,24.85,47.82,49.7,8.09
147,17.64,1,9,18.38,57.86,35.51,55.65,50.3,8.09
148,17.76,0,11,14.09,37.1,25.17,47.9,49.7,8.17
148,17.76,1,9,18.34,57.94,35.3,55.65,50.3,8.17
149,17.88,0,11,14.04,36.85,25.4,47.95,50.0,8.12
149,17.88,1,9,18.34,58.11,35.14,55.61,50.0,8.12
150,18.0,0,11,13.62,35.95,25.23,48.78,49.7,7.81
150,18.0,1,9,17.76,56.74,33.77,55.97,50.3,7.81
151,18.12,0,11,13.53,35.88,25.53,48.82,49.8,7.9
151,18.12,1,9,17.83,57.22,33.75,55.97,50.2,7.9
152,18.24,0,11,13.48,36.03,25.82,48.86,49.7,7.91
152,18.24,1,9,17.82,57.31,33.5,55.94,50.3,7.91
153,18.36,0,11,13.47,36.16,26.16,48.93,49.7,7.93
153,18.36,1,9,17.76,57.32,33.52,55.94,50.3,7.93
154,18.48,0,11,13.48,36.21,26.52,48.99,50.3,7.96
154,18.48,1,9,17.73,57.53,33.6,55.94,49.7,7.96
155,18.6,0,11,13.5,36.63,26.99,49.05,50.0,8.01
155,18.6,1,9,17.72,57.89,33.64,55.92,50.0,8.01
156,18.72,0,11,13.41,35.86,27.14,49.11,49.7,8.01
156,18.72,1,9,17.67,58.27,33.75,55.9,50.3,8.01
157,18.84,0,11,13.38,35.99,27.15,49.17,49.5,8.02
157,18.84,1,9,17.63,58.44,33.72,55.88,50.5,8.02
158,18.96,0,11,13.36,35.68,27.27,49.24,49.4,7.98
158,18.96,1,9,17.54,58.59,33.71,55.86,50.6,7.98
159,19.08,0,11,13.32,35.89,27.43,49.27,50.2,7.93
159,19.08,1,9,17.52,58.85,33.5,55.82,49.8,7.93
160,19.2,0,11,13.4,36.95,27.44,49.27,50.5,7.96
160,19.2,1,9,17.54,59.13,33.48,55.8,49.5,7.96
161,19.32,0,11,13.43,36.89,27.41,49.26,49.4,8.04
161,19.32,1,9,17.57,59.42,33.38,55.8,50.6,8.04
162,19.44,0,11,13.52,37.97,27.35,49.19,48.8,8.12
162,19.44,1,9,17.61,60.13,33.39,55.77,51.2,8.12
163,19.56,0,11,13.55,37.89,27.25,49.15,48.0,8.16
163,19.56,1,9,17.58,60.27,33.3,55.73,52.0,8.16
164,19.68,0,11,13.59,37.89,27.11,49.04,47.3,8.17
164,19.68,1,9,17.57,60.21,33.25,55.68,52.7,8.17
165,19.8,0,11,13.69,37.81,27.33,49.33,48.0,8.29
165,19.8,1,9,17.7,60.0,33.59,56.12,52.0,8.29
166,19.92,0,11,13.71,38.18,27.17,49.17,47.5,8.32
166,19.92,1,9,17.67,59.97,33.46,56.01,52.5,8.32
167,20.04,0,11,13.79,38.86,27.03,49.03,46.6,8.36
167,20.04,1,9,17.66,60.09,33.37,55.95,53.4,8.36
168,20.16,0,11,13.91,39.3,27.01,48.87,46.2,8.4
168,20.16,1,9,17.69,60.04,33.33,55.91,53.8,8.4
169,20.28,0,11,13.86,39.55,26.88,48.75,46.9,8.33
169,20.28,1,9,17.66,59.88,33.21,55.89,53.1,8.33
170,20.4,0,11,13.92,39.82,26.74,48.63,47.3,8.35
170,20.4,1,9,17.65,60.02,33.14,55.89,52.7,8.35
171,20.52,0,11,14.0,40.6,26.78,48.52,47.7,8.32
171,20.52,1,9,17.6,59.39,32.98,55.89,52.3,8.32
172,20.64,0,11,13.96,40.36,26.8,48.44,47.5,8.35
172,20.64,1,9,17.6,59.39,32.77,55.87,52.5,8.35
173,20.76,0,11,14.06,41.06,26.74,48.34,47.3,8.31
173,20.76,1,9,17.61,59.21,32.7,55.91,52.7,8.31
174,20.88,0,10,13.44,35.85,26.62,47.55,46.1,8.72
174,20.88,1,9,17.61,59.14,32.63,55.98,53.9,8.72
175,21.0,0,10,13.41,35.3,26.54,47.58,45.6,8.73
175,21.0,1,9,17.56,59.15,32.63,56.08,54.4,8.73
176,21.12,0,10,13.42,34.26,26.42,47.56,45.8,8.75
176,21.12,1,9,17.57,58.97,32.86,56.19,54.2,8.75
177,21.24,0,10,13.45,34.62,26.45,47.49,45.9,8.7
177,21.24,1,9,17.61,58.71,33.16,56.24,54.1,8.7
178,21.36,0,10,13.48,33.89,26.62,47.42,46.7,8.7
178,21.36,1,9,17.63,58.73,33.39,56.32,53.3,8.7
179,21.48,0,10,13.55,33.73,26.59,47.44,47.3,8.71
179,21.48,1,9,17.62,58.48,33.62,56.49,52.7,8.71
180,21.6,0,10,13.94,36.6,26.72,46.2,47.2,8.91
180,21.6,1,9,17.81,59.93,33.44,55.46,52.8,8.91
181,21.72,0,9,13.52,32.87,26.61,47.23,47.5,8.15
181,21.72,1,9,17.75,59.52,33.62,55.67,52.5,8.15
182,21.84,0,9,13.56,32.18,26.7,47.34,48.6,8.12
182,21.84,1,9,17.67,58.73,33.74,55.9,51.4,8.12
183,21.96,0,9,13.43,31.8,26.56,47.53,47.8,7.98
183,21.96,1,9,17.63,58.22,33.99,56.13,52.2,7.98
184,22.08,0,9,13.41,31.96,26.63,47.69,47.2,7.98
184,22.08,1,9,17.6,57.87,34.28,56.36,52.8,7.98
185,22.2,0,8,13.02,29.06,26.71,48.99,46.7,7.34
185,22.2,1,9,17.67,57.81,34.66,56.59,53.3,7.34
186,22.32,0,8,13.08,29.22,26.98,49.1,46.4,7.41
186,22.32,1,9,17.89,58.33,35.31,56.78,53.6,7.41
187,22.44,0,8,13.14,29.68,26.9,49.18,45.8,7.4
187,22.44,1,9,17.89,58.14,35.78,56.85,54.2,7.4
188,22.56,0,9,13.88,36.12,26.94,48.08,42.8,6.39
188,22.56,1,10,18.51,57.71,38.24,55.05,57.2,6.39
189,22.68,0,9,13.83,35.93,26.76,48.06,42.3,6.33
189,22.68,1,10,18.55,57.81,38.43,55.05,57.7,6.33
190,22.8,0,9,13.81,36.09,26.57,48.12,42.5,6.38
190,22.8,1,10,18.54,57.55,38.53,55.1,57.5,6.38
191,22.92,0,9,13.75,36.21,26.3,48.18,41.9,6.37
191,22.92,1,10,18.51,57.16,38.56,55.1,58.1,6.37
192,23.04,0,9,13.67,35.84,26.02,48.2,41.6,6.34
