frame_id,time_s,team,n,compactness_m,width_m,depth_m,line_height_m,control_pct,pressing_m
215,25.8,1,10,17.9,60.22,35.78,54.54,66.1,7.3
216,25.92,0,6,12.48,28.11,26.87,51.34,35.6,8.07
216,25.92,1,9,17.92,60.36,35.82,55.73,64.4,8.07
217,26.04,0,6,12.45,27.8,27.09,51.16,34.7,8.13
217,26.04,1,9,17.93,60.5,35.81,55.4,65.3,8.13
218,26.16,0,4,12.06,24.86,24.94,55.73,16.1,9.02
218,26.16,1,9,17.88,60.49,35.8,55.08,83.9,9.02
219,26.28,0,4,12.17,25.25,24.96,55.57,16.2,9.91
219,26.28,1,10,18.19,60.73,37.23,53.01,83.8,9.91
220,26.4,0,5,14.45,34.81,28.18,52.08,22.5,8.06
220,26.4,1,10,18.0,60.64,37.01,52.7,77.5,8.06
221,26.52,0,5,14.33,34.5,28.04,52.01,34.1,6.94
221,26.52,1,8,14.04,41.18,33.06,50.53,65.9,6.94
222,26.64,0,6,13.73,34.03,27.84,50.13,36.7,6.54
222,26.64,1,8,13.82,40.41,32.57,50.38,63.3,6.54
223,26.76,0,8,12.99,32.89,27.75,47.71,38.0,5.75
223,26.76,1,8,13.57,40.14,31.9,50.23,62.0,5.75
224,26.88,0,8,13.12,33.35,28.04,47.57,38.1,5.84
224,26.88,1,8,13.64,40.87,31.87,50.01,61.9,5.84
225,27.0,0,8,13.46,36.39,27.44,52.79,46.6,5.91
225,27.0,1,8,13.88,42.73,30.24,55.64,53.4,5.91
226,27.12,0,8,13.79,37.48,28.1,52.65,45.6,6.53
226,27.12,1,9,14.95,43.26,32.57,57.91,54.4,6.53
227,27.24,0,8,14.15,38.02,28.48,52.58,48.6,6.45
227,27.24,1,9,15.34,43.94,33.55,57.68,51.4,6.45
228,27.36,0,8,14.38,38.42,28.96,52.44,48.4,7.5
228,27.36,1,8,14.97,44.61,32.82,59.37,51.6,7.5
229,27.48,0,8,14.61,38.99,29.22,52.38,48.3,7.6
229,27.48,1,8,15.05,44.84,32.93,59.23,51.7,7.6
230,27.6,0,8,14.84,39.89,29.87,52.25,45.9,6.66
230,27.6,1,9,15.72,46.06,33.96,57.24,54.1,6.66
231,27.72,0,8,14.88,39.22,29.77,52.34,48.1,7.83
231,27.72,1,8,15.43,46.71,33.21,59.03,51.9,7.83
232,27.84,0,9,15.33,39.57,29.88,52.85,48.6,6.61
232,27.84,1,8,15.53,46.92,33.39,58.99,51.4,6.61
233,27.96,0,9,13.54,38.22,29.17,50.84,46.6,5.85
233,27.96,1,8,15.66,47.28,33.33,58.99,53.4,5.85
234,28.08,0,8,12.11,30.74,29.07,51.35,43.3,5.73
234,28.08,1,7,17.27,47.8,33.03,58.42,56.7,5.73
235,28.2,0,8,12.1,30.9,29.0,51.37,43.8,5.83
235,28.2,1,7,17.29,48.04,32.67,58.46,56.2,5.83
236,28.32,0,8,12.06,30.36,29.04,51.4,44.1,5.89
236,28.32,1,7,17.36,48.78,32.48,58.47,55.9,5.89
237,28.44,0,8,12.18,30.53,28.98,51.5,58.3,7.27
237,28.44,1,6,17.3,48.97,31.92,55.98,41.7,7.27
238,28.56,0,8,12.09,29.41,28.97,51.53,42.8,6.84
238,28.56,1,7,17.22,49.37,33.74,54.01,57.2,6.84
239,28.68,0,8,12.25,30.49,28.94,51.63,44.1,6.71
239,28.68,1,7,17.21,50.34,32.91,54.08,55.9,6.71
240,28.8,0,7,12.21,26.59,31.17,53.15,30.0,5.94
240,28.8,1,8,17.63,46.04,34.35,57.43,70.0,5.94
241,28.92,0,7,12.56,27.91,31.4,53.23,32.7,5.93
241,28.92,1,8,17.76,46.74,34.24,57.51,67.3,5.93
242,29.04,0,7,12.24,27.54,30.96,53.4,30.3,6.24
242,29.04,1,8,17.9,47.17,34.08,57.58,69.7,6.24
243,29.16,0,7,12.14,26.47,31.29,53.52,31.9,6.3
243,29.16,1,8,18.06,47.85,33.85,57.73,68.1,6.3
244,29.28,0,7,12.44,27.61,31.34,53.69,32.8,6.32
244,29.28,1,8,18.23,48.33,33.72,57.93,67.2,6.32
245,29.4,0,6,12.36,27.66,31.04,55.6,23.6,6.92
245,29.4,1,8,18.33,48.53,33.7,58.13,76.4,6.92
246,29.52,0,7,12.79,28.08,31.62,54.07,35.5,6.41
246,29.52,1,8,18.6,49.72,33.51,58.37,64.5,6.41
247,29.64,0,7,12.69,26.97,31.63,54.18,35.9,6.59
247,29.64,1,8,18.7,49.81,33.44,58.55,64.1,6.59
248,29.76,0,7,12.74,27.53,31.54,54.34,36.4,6.6
248,29.76,1,8,18.82,49.83,33.24,58.64,63.6,6.6
249,29.88,0,7,12.72,27.26,31.33,54.43,36.4,6.89
249,29.88,1,8,18.96,50.58,33.33,58.76,63.6,6.89
250,30.0,0,7,12.68,27.54,31.34,54.57,35.3,6.98
250,30.0,1,8,19.03,50.31,33.35,58.8,64.7,6.98
